source,records,matched,correct_links,false_links,missed_links,ambiguous,unmatched,mean_confidence,linkage_rate,precision,recall,false_link_rate
education,95067,89824,88920,904,5243,1161,4082,0.9318265507484196,0.9448494219865988,0.9899358745992164,0.9443199558212886,0.0095090830677311
health,12397,11910,11830,80,487,126,361,0.9435202629668468,0.9607163023312092,0.9932829554995802,0.960461151254364,0.0064531741550375
social_care,3293,2925,2867,58,368,97,271,0.8952586091709688,0.8882477983601579,0.9801709401709402,0.8862442040185471,0.0176131187367142
